CompanySymbol,Company Name,TotalEsgScore,EnvironmentRiskScore,SocialRiskScore,GovernanceRiskScore,EsgRatingYear
PAG.L,PARAGON BANKING GROUP,,,,,
HL.L,HARGREAVES LANSDOWN PLC,22.68,2.1,9.12,11.47,2022.0
@BREWIN DOLPHIN HLDGS PLC,BREWIN DOLPHIN HLDGS PLC,,,,,
UBS,UBS GROUP AG,22.66,1.21,11.0,10.45,2022.0
ABDN.L,ABRDN PLC,16.58,1.42,8.48,6.68,2022.0
@BAWAG P.S.K.,BAWAG P.S.K.,,,,,
TOWN.AQ,TOWN CENTRE SECURITIES PLC,,,,,
SEB-A.ST,SKANDINAVISKA ENSKILDA BANK,24.0,1.21,9.58,13.2,2022.0
SHB-A.ST,SVENSKA HANDELSBANKEN,17.11,0.73,6.98,9.41,2022.0
SWED-A.ST,SWEDBANK AB,24.88,0.67,9.67,14.54,2022.0
@RATHBONE BROTHERS PLC,RATHBONE BROTHERS PLC,,,,,
@PROVIDENT FINL GROUP,PROVIDENT FINL GROUP,,,,,
0NQH.IL,RHOEN-KLINIKUM AG,,,,,
ORP.PA,ORPEA SA,30.94,3.19,20.03,7.72,2022.0
SPI.L,SPIRE HEALTHCARE GROUP PLC,,,,,
ATT.ST,ATTENDO AB,,,,,
@DIRECT LINE INSURANCE GRP,DIRECT LINE INSURANCE GRP,,,,,
@RSA INSURANCE GROUP PLC,RSA INSURANCE GROUP PLC,,,,,
CSN.L,CHESNARA PLC,,,,,
MT,ARCELORMITTAL,,,,,
@DAVIDE CAMPARI-MILANO N V,DAVIDE CAMPARI-MILANO N V,,,,,
BUD,ANHEUSER-BUSCH INBEV,,,,,
CARL-B.CO,CARLSBERG A/S,22.56,7.3,8.77,6.49,2022.0
4H5.DU,HEINEKEN HOLDING NV,21.09,5.9,7.26,7.92,2022.0
HEINY,HEINEKEN NV,,,,,
RI.PA,PERNOD RICARD SA,15.48,3.76,5.93,5.79,2022.0
DEO,DIAGEO PLC,,,,,
BVIC.L,BRITVIC PLC,,,,,
CCH.L,COCA-COLA HBC AG,13.55,5.35,4.32,3.88,2022.0
CCEP,COCA-COLA EUROPACIFIC PARTNE,,,,,
NXPI,NXP SEMICONDUCTORS NV,21.6,8.67,7.39,5.55,2022.0
STM,STMICROELECTRONICS NV,,,,,
IFX.DE,INFINEON TECHNOLOGIES AG,17.89,8.1,5.0,4.79,2022.0
ASM.AS,ASM INTERNATIONAL NV,,,,,
MBTN.SW,MEYER BURGER TECHNOLOGY AG,,,,,
